epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7020.32,0.88244,0.41887,1.17015,0.98439,0.98146,0.99424,0.75309,0.83908,1.0555,1.1079,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7224.01,0.87623,0.41113,1.168,0.98905,0.97795,0.99352,0.75164,0.83483,1.10636,1.09623,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7428.08,0.87001,0.41307,1.16917,0.98495,0.98573,0.9942,0.76417,0.82599,1.01212,1.08482,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7631.32,0.86473,0.40926,1.16546,0.9869,0.97713,0.99406,0.76947,0.82735,0.7582,1.09128,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7835.07,0.86036,0.40385,1.15977,0.98828,0.98402,0.99446,0.76504,0.81951,1.12433,1.0752,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8038.76,0.84477,0.39914,1.15208,0.98555,0.97665,0.99419,0.75591,0.83633,1.25378,1.09647,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8242.3,0.84127,0.39705,1.14491,0.98195,0.98314,0.99397,0.74835,0.83756,1.61616,1.10678,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8446.04,0.83649,0.39411,1.14255,0.98618,0.98314,0.9945,0.76364,0.83207,0.98352,1.10414,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8649.86,0.82236,0.38919,1.13549,0.98098,0.97665,0.99354,0.75564,0.84264,1.12667,1.1007,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8852.72,0.82715,0.38798,1.14171,0.98571,0.98435,0.99433,0.76482,0.84197,1.05423,1.10513,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9055.81,0.81128,0.3806,1.12474,0.98694,0.9801,0.99447,0.76201,0.8325,1.13476,1.10091,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9259.17,0.81455,0.37967,1.13094,0.98689,0.98314,0.99423,0.7531,0.8494,0.97113,1.1165,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9461.79,0.80274,0.37595,1.11635,0.99087,0.98499,0.99449,0.76321,0.84539,0.72593,1.10934,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9665.83,0.79325,0.37183,1.11014,0.98475,0.98314,0.99452,0.75807,0.84266,0.92115,1.1024,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9869.32,0.78745,0.36813,1.10499,0.98951,0.97869,0.99422,0.75858,0.83052,1.00504,1.10136,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10072.9,0.774,0.36792,1.10423,0.98827,0.98328,0.9945,0.75981,0.84425,0.83589,1.1088,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10276.9,0.78035,0.36732,1.10477,0.98736,0.98314,0.9944,0.76005,0.84437,1.0825,1.10742,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10480.5,0.7634,0.35876,1.09938,0.99213,0.98148,0.99449,0.76821,0.83485,0.98194,1.10405,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10685.3,0.75316,0.35288,1.08986,0.98654,0.98184,0.99442,0.76116,0.83608,1.0699,1.11178,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10888.6,0.74883,0.3517,1.08279,0.99342,0.97956,0.99391,0.75419,0.84904,0.88198,1.12137,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11092.3,0.74263,0.35235,1.08187,0.99135,0.97925,0.99427,0.75523,0.84096,1.14298,1.11559,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11295.6,0.72457,0.3415,1.0741,0.99079,0.97694,0.9944,0.75006,0.85142,1.08722,1.13165,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11499.3,0.72064,0.34271,1.07683,0.98954,0.98116,0.99439,0.75856,0.84179,1.28677,1.12493,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11703.3,0.71579,0.34146,1.07143,0.98311,0.9812,0.99411,0.75552,0.86207,1.10419,1.14388,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
